vano;mes;armas_apreendidas
2000;1;697
2000;2;751
2000;3;784
2000;4;780
2000;5;761
2000;6;699
2000;7;875
2000;8;1107
2000;9;984
2000;10;1026
2000;11;929
2000;12;947
2001;1;901
2001;2;848
2001;3;1013
2001;4;1045
2001;5;1114
2001;6;1214
2001;7;1072
2001;8;1238
2001;9;1113
2001;10;1383
2001;11;1223
2001;12;1201
2002;1;1060
2002;2;993
2002;3;1212
2002;4;1084
2002;5;1107
2002;6;961
2002;7;1062
2002;8;1290
2002;9;1356
2002;10;1384
2002;11;1540
2002;12;1314
2003;1;1154
2003;2;1324
2003;3;1344
2003;4;1336
2003;5;1292
2003;6;1372
2003;7;1454
2003;8;1326
2003;9;1332
2003;10;1440
2003;11;1238
2003;12;1003
2004;1;1179
2004;2;1235
2004;3;1290
2004;4;1421
2004;5;1286
2004;6;1222
2004;7;1379
2004;8;1354
2004;9;1254
2004;10;993
2004;11;1276
2004;12;1232
2005;1;1148
2005;2;1060
2005;3;1334
2005;4;1340
2005;5;1356
2005;6;1413
2005;7;1308
2005;8;1221
2005;9;1136
2005;10;1237
2005;11;1149
2005;12;1174
2006;1;1003
2006;2;1058
2006;3;1068
2006;4;1146
2006;5;1234
2006;6;1259
2006;7;1168
2006;8;1208
2006;9;1089
2006;10;1028
2006;11;1104
2006;12;947
