FID,id,Nome do Município,Código_Município,IDEB_AI_M_2005,IDEB_AI_M_2007,IDEB_AI_M_2009,IDEB_AI_M_2011,IDEB_AI_M_2013,IDEB_AI_M_2015,PROJ_AI_M_2007,PROJ_AI_M_2009,PROJ_AI_M_2011,PROJ_AI_M_2013,PROJ_AI_M_2015,PROJ_AI_M_2017,PROJ_AI_M_2019,PROJ_AI_M_2021,Atingiu_a_meta_AI_M_2007,Atingiu_a_meta_AI_M_2009,Atingiu_a_meta_AI_M_2011,Atingiu_a_meta_AI_M_2013,Atingiu_a_meta_AI_M_2015,IDEB_AF_M_2005,IDEB_AF_M_2007,IDEB_AF_M_2009,IDEB_AF_M_2011,IDEB_AF_M_2013,IDEB_AF_M_2015,PROJ_AF_M_2007,PROJ_AF_M_2009,PROJ_AF_M_2011,PROJ_AF_M_2013,PROJ_AF_M_2015,PROJ_AF_M_2017,PROJ_AF_M_2019,PROJ_AF_M_2021,Atingiu_a_meta_AF_M_2007,Atingiu_a_meta_AF_M_2009,Atingiu_a_meta_AF_M_2011,Atingiu_a_meta_AF_M_2013,Atingiu_a_meta_AF_M_2015,Dupla_Regressividade_M
educ_ideb_rede_municipal.fid-4076b39c_167419724c2_-7a52,1,Angra dos Reis,3300100,3.6,4.4,4.2,5.1,5.1,4.9,3.7,4.0,4.4,4.7,5.0,5.3,5.6,5.9,SIM,SIM,SIM,SIM,NÃO,3.3,3.4,3.3,3.9,3.5,3.6,3.3,3.5,3.8,4.2,4.5,4.8,5.1,5.3,SIM,NÃO,SIM,NÃO,NÃO,Não
educ_ideb_rede_municipal.fid-4076b39c_167419724c2_-7a37,2,Aperibé,3300159,5.1,5.8,6.1,5.5,5.4,5.3,5.2,5.5,5.9,6.1,6.3,6.6,6.8,7.0,SIM,SIM,NÃO,NÃO,NÃO,,4.0,4.2,4.8,4.6,4.8,,4.1,4.3,4.6,4.9,5.2,5.4,5.7,,SIM,SIM,SIM,NÃO,Nos_Anos_Iniciais
educ_ideb_rede_municipal.fid-4076b39c_167419724c2_-7a36,3,Araruama,3300209,3.9,3.8,4.2,4.5,4.4,4.9,4.0,4.3,4.7,5.0,5.3,5.6,5.8,6.1,NÃO,NÃO,NÃO,NÃO,NÃO,3.8,3.5,3.7,3.9,3.5,3.7,3.8,3.9,4.2,4.6,5.0,5.2,5.5,5.7,NÃO,NÃO,NÃO,NÃO,NÃO,Não
educ_ideb_rede_municipal.fid-4076b39c_167419724c2_-7a34,4,Areal,3300225,3.7,3.7,4.2,4.6,5.0,5.1,3.7,4.1,4.5,4.8,5.1,5.3,5.6,5.9,NÃO,SIM,SIM,SIM,NÃO,,,,3.7,4.3,3.8,,,,3.9,4.2,4.4,4.7,5.0,,,,SIM,NÃO,Não
educ_ideb_rede_municipal.fid-4076b39c_167419724c2_-7a33,5,Armação dos Búzios,3300233,3.9,4.2,4.5,4.6,5.5,5.3,3.9,4.3,4.7,5.0,5.2,5.5,5.8,6.1,SIM,SIM,NÃO,SIM,SIM,3.1,3.6,3.6,4.0,4.3,4.4,3.2,3.4,3.7,4.1,4.5,4.8,5.0,5.3,SIM,SIM,SIM,SIM,NÃO,Não
educ_ideb_rede_municipal.fid-4076b39c_167419724c2_-7a32,6,Arraial do Cabo,3300258,4.0,3.7,4.1,4.5,4.5,4.6,4.0,4.4,4.8,5.0,5.3,5.6,5.9,6.1,NÃO,NÃO,NÃO,NÃO,NÃO,3.1,3.0,3.2,4.7,2.9,3.4,3.1,3.3,3.6,4.0,4.3,4.6,4.9,5.1,NÃO,NÃO,SIM,NÃO,NÃO,Não
educ_ideb_rede_municipal.fid-4076b39c_167419724c2_-7a31,7,Barra do Piraí,3300308,4.0,4.0,4.3,4.5,4.6,4.8,4.1,4.4,4.8,5.1,5.4,5.6,5.9,6.2,NÃO,NÃO,NÃO,NÃO,NÃO,3.9,2.9,4.1,4.7,4.6,3.8,3.9,4.0,4.3,4.7,5.1,5.3,5.6,5.8,NÃO,SIM,SIM,NÃO,NÃO,Nos_Anos_Finais
educ_ideb_rede_municipal.fid-4076b39c_167419724c2_-7a30,8,Barra Mansa,3300407,4.6,4.5,4.9,5.1,5.2,5.4,4.7,5.0,5.4,5.7,5.9,6.2,6.4,6.6,NÃO,NÃO,NÃO,NÃO,NÃO,4.1,3.9,4.3,4.1,3.8,4.2,4.1,4.3,4.5,4.9,5.3,5.5,5.8,6.0,NÃO,SIM,NÃO,NÃO,NÃO,Não
educ_ideb_rede_municipal.fid-4076b39c_167419724c2_-7a2f,9,Belford Roxo,3300456,3.5,3.6,3.7,3.8,3.7,4.1,3.5,3.9,4.3,4.6,4.9,5.1,5.4,5.7,SIM,NÃO,NÃO,NÃO,NÃO,2.7,2.7,2.8,3.2,3.0,3.2,2.7,2.8,3.1,3.5,3.9,4.1,4.4,4.7,SIM,SIM,SIM,NÃO,NÃO,Não
educ_ideb_rede_municipal.fid-4076b39c_167419724c2_-7a2e,10,Bom Jardim,3300506,4.3,4.2,4.7,4.6,5.0,5.2,4.4,4.7,5.1,5.4,5.7,5.9,6.2,6.4,NÃO,NÃO,NÃO,NÃO,NÃO,3.9,3.9,4.8,4.6,4.9,4.5,4.0,4.1,4.4,4.8,5.1,5.4,5.6,5.9,NÃO,SIM,SIM,SIM,NÃO,Não
educ_ideb_rede_municipal.fid-4076b39c_167419724c2_-7a2d,87,Bom Jesus do Itabapoana,3300605,4.4,4.5,4.7,5.0,5.2,5.6,4.5,4.8,5.2,5.5,5.7,6.0,6.2,6.5,NÃO,NÃO,NÃO,NÃO,NÃO,3.6,3.5,4.4,,3.7,,3.6,3.8,4.1,4.5,4.8,5.1,5.3,5.6,NÃO,SIM,,NÃO,,Sem_info_anos_finais
educ_ideb_rede_municipal.fid-4076b39c_167419724c2_-7a2c,11,Cabo Frio,3300704,3.9,4.0,4.6,4.7,4.7,4.9,4.0,4.3,4.7,5.0,5.3,5.6,5.8,6.1,NÃO,SIM,NÃO,NÃO,NÃO,3.9,3.7,4.0,3.8,3.6,3.9,3.9,4.1,4.3,4.7,5.1,5.4,5.6,5.8,NÃO,NÃO,NÃO,NÃO,NÃO,Não
educ_ideb_rede_municipal.fid-4076b39c_167419724c2_-7a2b,12,Cachoeiras de Macacu,3300803,3.9,3.9,3.8,4.1,4.9,4.6,3.9,4.3,4.7,5.0,5.3,5.5,5.8,6.1,SIM,NÃO,NÃO,NÃO,NÃO,3.8,4.0,3.8,,3.7,3.8,3.8,4.0,4.2,4.6,5.0,5.3,5.5,5.8,SIM,NÃO,,NÃO,NÃO,Sem_info_anos_finais
educ_ideb_rede_municipal.fid-4076b39c_167419724c2_-7a2a,13,Cambuci,3300902,4.2,4.7,5.8,4.7,5.2,4.9,4.3,4.6,5.0,5.3,5.6,5.8,6.1,6.4,SIM,SIM,NÃO,NÃO,NÃO,,3.9,4.4,,,,,4.0,4.2,4.6,4.9,5.2,5.4,5.6,,SIM,,,,Sem_info_anos_finais
educ_ideb_rede_municipal.fid-4076b39c_167419724c2_-7a29,15,Carapebus,3300936,3.4,4.1,4.1,4.5,4.6,4.9,3.4,3.8,4.2,4.5,4.8,5.1,5.4,5.6,SIM,SIM,SIM,SIM,SIM,3.1,3.9,3.6,3.3,3.2,4.0,3.2,3.3,3.6,4.0,4.4,4.6,4.9,5.2,SIM,SIM,NÃO,NÃO,NÃO,Não
educ_ideb_rede_municipal.fid-4076b39c_167419724c2_-7a28,19,Comendador Levy Gasparian,3300951,4.1,4.4,5.1,5.4,6.5,6.5,4.1,4.5,4.9,5.1,5.4,5.7,6.0,6.2,SIM,SIM,SIM,SIM,SIM,3.8,3.6,3.5,3.8,4.0,4.5,3.8,4.0,4.3,4.7,5.0,5.3,5.5,5.8,NÃO,NÃO,NÃO,NÃO,NÃO,Não
